dataset,model,optimizer,loss,iterations,time,r2
linear,linear_regression,Analytic,0.29626058908624303,1,0.00012780004180967808,0.9555254403471115
linear,linear_regression,SGD,0.2962609830591145,1000,1.110000700049568,0.9555253812040103
linear,linear_regression,MiniBatch,0.29626100383705134,500,0.10083449998637661,0.9555253780848321
linear,linear_regression,GaussNewton,0.296260589086243,2,0.00033409998286515474,0.9555254403471115
linear,linear_regression,LevenbergMarquardt,0.2962605890862429,3,0.0005093999789096415,0.9555254403471115
linear,poly2,Analytic,0.29624922381102514,1,8.690002141520381e-05,0.9555271464991589
linear,poly2,SGD,0.2962495338833226,1000,1.0628391000209376,0.9555270999511893
linear,poly2,MiniBatch,0.29624953549208827,500,0.08105859998613596,0.9555270997096819
linear,poly2,GaussNewton,0.2962492238110252,2,0.00021180004114285111,0.9555271464991589
linear,poly2,LevenbergMarquardt,0.2962492238110251,3,0.00010300002759322524,0.9555271464991589
linear,poly3,Analytic,0.2931318357897337,1,7.379997987300158e-05,0.9559951279473217
linear,poly3,SGD,0.2932770573154159,1000,1.060081000032369,0.9559733273310913
linear,poly3,MiniBatch,0.3073156722988368,500,0.08478199999080971,0.9538658542397503
linear,poly3,GaussNewton,0.2931318357897337,2,0.00018640002235770226,0.9559951279473217
linear,poly3,LevenbergMarquardt,0.2931318357897337,3,0.00012429995695129037,0.9559951279473217
linear,poly4,Analytic,0.29110252062818587,1,7.829995593056083e-05,0.9562997681915241
linear,poly4,SGD,0.2918445461849643,1000,1.200128099997528,0.9561883755152633
linear,poly4,MiniBatch,0.30678753288716293,500,0.08443079999415204,0.9539451383856503
linear,poly4,GaussNewton,0.29110252062818587,2,0.00020070001482963562,0.9562997681915241
linear,poly4,LevenbergMarquardt,0.29110252062818587,3,0.0001218999968841672,0.9562997681915241
linear,poly5,Analytic,0.28884065688743005,1,0.12250450003193691,0.9566393185656565
linear,poly5,SGD,0.29364904784436574,1000,1.3240295000141487,0.9559174842133108
linear,poly5,MiniBatch,0.298653818642028,500,0.3116211000015028,0.9551661693722913
linear,poly5,GaussNewton,0.28884065688743005,2,0.22685770003590733,0.9566393185656565
linear,poly5,LevenbergMarquardt,0.28884065688743005,4,0.23662740003783256,0.9566393185656565
nonlinear,linear_regression,Analytic,0.5860525698564545,1,9.280000813305378e-05,0.7455476528856467
nonlinear,linear_regression,SGD,0.5860542130269316,1000,1.0824432999943383,0.7455469394537703
nonlinear,linear_regression,MiniBatch,0.586053542505925,500,0.07999300002120435,0.7455472305806293
nonlinear,linear_regression,GaussNewton,0.5860525698564545,2,0.0003011999651789665,0.7455476528856467
nonlinear,linear_regression,LevenbergMarquardt,0.5860525698564545,3,0.00010090001160278916,0.7455476528856467
nonlinear,poly2,Analytic,0.5711786269828059,1,8.650001836940646e-05,0.7520056224769612
nonlinear,poly2,SGD,0.5711801773535228,1000,1.0589873000280932,0.7520049493368913
nonlinear,poly2,MiniBatch,0.5711821884925277,500,0.0799251000280492,0.752004076140413
nonlinear,poly2,GaussNewton,0.5711786269828061,2,0.00022629997693002224,0.7520056224769611
nonlinear,poly2,LevenbergMarquardt,0.571178626982806,3,0.00020160002168267965,0.7520056224769611
nonlinear,poly3,Analytic,0.5569372981214602,1,8.700002217665315e-05,0.7581889236707166
nonlinear,poly3,SGD,0.5569414389786318,1000,1.0405697000096552,0.7581871257930506
nonlinear,poly3,MiniBatch,0.557112944178846,500,0.08670009998604655,0.7581126616528328
nonlinear,poly3,GaussNewton,0.5569372981214602,2,0.00020710000535473228,0.7581889236707166
nonlinear,poly3,LevenbergMarquardt,0.5569372981214602,3,0.00011439999798312783,0.7581889236707166
nonlinear,poly4,Analytic,0.5547081850694339,1,9.739998495206237e-05,0.7591567601366676
nonlinear,poly4,SGD,0.5557671117355405,1000,1.051484600000549,0.7586969952802847
nonlinear,poly4,MiniBatch,0.5575175463552225,500,0.0819900999777019,0.7579369914506668
nonlinear,poly4,GaussNewton,0.5547081850694338,2,0.000228899996727705,0.7591567601366676
nonlinear,poly4,LevenbergMarquardt,0.5547081850694339,3,0.00012139999307692051,0.7591567601366676
nonlinear,poly5,Analytic,0.3108309937154338,1,0.1255018999800086,0.8650433766954535
nonlinear,poly5,SGD,0.4908085534126792,1000,1.2962177000008523,0.7869007068252494
nonlinear,poly5,MiniBatch,0.5268585163281534,500,0.33902080002008006,0.7712485313225046
nonlinear,poly5,GaussNewton,0.3108309937154338,2,0.2402371999924071,0.8650433766954535
nonlinear,poly5,LevenbergMarquardt,0.3108309937154339,4,0.2365544000058435,0.8650433766954535
