dataset,optimizer,loss,iterations,time,r2
linear,Analytic,0.29311696524052355,1.0,0.02457426000619307,0.9559973603101545
linear,GaussNewton,0.29311696524052355,2.0,0.04555814001942053,0.9559973603101545
linear,LevenbergMarquardt,0.29311696524052355,3.2,0.04749719999963418,0.9559973603101545
linear,MiniBatch,0.30105351263143343,500.0,0.13254539999179543,0.9548059279584411
linear,SGD,0.29425623365743664,1000.0,1.1514156800229103,0.9558263336429731
nonlinear,Analytic,0.5159415347491176,1.0,0.025173120002727957,0.7759884671730891
nonlinear,GaussNewton,0.5159415347491176,2.0,0.048240139987319706,0.7759884671730891
nonlinear,LevenbergMarquardt,0.5159415347491176,3.2,0.047418540006037804,0.7759884671730891
nonlinear,MiniBatch,0.559744947572135,500.0,0.13352582000661642,0.7569698982294093
nonlinear,SGD,0.5521502989014612,1000.0,1.1059405200066976,0.7602673433378493
